Date,Avocado A,Avocado B,Banana A,Banana B,Carrot A,Carrot B,Cucumber A,Cucumber B,Green Apple A,Green Apple B,Green Cabbage A,Green Cabbage B,Lemon A,Lemon B,Letture A,Letture B,Onion A,Onion B,Pear A,Pear B,Pomegranate A,Pomegranate B,Red Apple A,Red Apple B,Red Cabbage A,Red Cabbage B,Red Pepper A,Red Pepper B,Sweet-Potato A,Sweet-Potato B,Tomatoe A,Tomatoe B,Yellow Pepper A,Yellow Pepper B
09.07.2018,,,4.0,4.9,3.1,4.5,3.6,,6.5,8.7,4.3,,3.9,7.0,3.0,,,,6.0,10.2,,,4.5,6.4,2.0,,2.9,7.0,,4.9,2.3,5.3,3.0,7.1
10.07.2018,,,4.0,4.8,3.2,4.5,3.6,,6.5,8.8,3.7,,4.6,7.5,3.0,,2.7,,,,,,4.5,6.4,2.2,,5.0,6.7,,5.0,,5.7,,7.2
11.07.2018,,,4.2,5.2,2.9,4.5,3.3,,6.7,8.5,3.4,,5.1,7.2,3.0,,2.5,,6.7,9.5,,,4.5,7.0,2.0,,5.0,7.1,,5.0,,5.5,5.0,7.1
12.07.2018,,,4.4,4.9,3.2,4.5,3.7,,6.5,8.5,3.1,,4.3,7.0,3.0,,2.6,,,,,,4.5,7.5,2.0,,4.6,6.8,,5.0,,6.2,4.4,7.1
15.07.2018,,,4.0,5.0,3.0,4.5,3.0,,8.4,8.5,3.0,,4.2,6.7,3.0,,2.6,,8.6,9.5,,,4.5,7.5,2.2,,4.3,7.0,,5.0,,5.7,5.0,6.7
16.07.2018,,,4.4,5.2,3.0,4.5,4.0,,5.5,8.5,3.1,,4.0,7.1,,,2.6,,7.7,9.5,,,4.5,7.5,1.9,,5.0,6.8,,5.0,,6.2,5.0,7.0
17.07.2018,,,4.0,5.0,2.8,4.1,3.7,,6.5,8.3,2.9,,4.4,7.1,3.0,,2.6,,13.0,,,,4.5,7.5,2.1,,4.5,6.5,,5.0,,5.8,4.3,6.8
18.07.2018,,,4.3,5.2,3.0,4.4,4.0,,8.4,8.5,2.5,,5.0,6.9,3.0,,2.6,,13.0,,,,,6.8,2.0,,4.9,6.5,,5.0,,5.8,4.4,6.8
19.07.2018,,,4.5,4.9,3.0,4.3,4.1,,6.5,8.4,2.7,,4.2,6.8,3.0,,2.6,,6.0,9.5,,,4.5,7.5,2.5,,4.3,6.1,,5.0,,5.2,3.9,6.5
22.07.2018,,,4.5,5.1,3.3,4.6,3.9,,6.2,8.5,2.9,,4.5,6.5,3.0,,2.6,,,9.5,,,4.5,7.5,2.7,,4.4,6.4,,5.0,,5.2,3.9,6.5
23.07.2018,,,4.3,5.0,3.3,4.3,4.4,,6.4,8.5,2.7,,4.0,6.2,3.0,,2.8,,11.0,,,,,7.4,2.4,,4.0,6.3,,3.8,,5.2,4.2,6.6
24.07.2018,,,4.0,5.2,3.6,4.6,5.1,,6.5,8.7,2.8,,4.4,6.9,3.0,,2.9,,9.7,10.0,,,4.7,7.9,2.8,,4.0,6.5,,4.6,,5.2,3.9,6.6
26.07.2018,,,,5.1,3.1,4.6,5.5,,6.5,8.8,3.2,,4.6,6.5,3.0,,2.7,,9.3,9.5,,,4.5,6.7,2.0,,4.0,6.0,,4.8,3.3,4.7,4.0,6.0
01.08.2018,,,,5.0,3.0,4.6,3.7,,6.5,8.6,2.6,,5.2,6.4,3.0,,2.8,,8.0,,,6.0,,,2.5,,3.5,5.2,,4.0,,4.0,4.2,5.9
02.08.2018,,,4.5,5.0,3.1,4.9,3.8,,6.5,8.3,2.8,,3.6,5.9,3.0,,2.7,,6.0,9.5,4.0,5.4,4.5,6.3,3.0,,3.4,4.8,,4.5,,3.9,3.8,5.1
05.08.2018,,,4.5,5.0,3.1,4.8,3.6,,6.5,8.8,2.7,,4.5,5.9,3.0,,2.7,,5.0,10.0,,5.4,4.5,7.2,3.1,,3.5,4.7,,4.5,,4.2,4.0,5.0
06.08.2018,,,4.5,5.2,3.6,4.5,3.5,,6.5,8.5,2.4,,3.2,5.7,2.8,,2.8,,5.0,10.7,,6.3,5.0,6.1,2.6,,3.5,4.2,,3.8,,3.9,4.1,4.4
07.08.2018,,,4.8,5.2,3.0,4.8,3.2,,6.5,8.7,2.8,,3.6,5.9,2.8,,2.8,,5.0,9.8,,6.6,4.9,6.1,3.1,,3.4,4.4,,4.4,,3.9,5.0,5.1
08.08.2018,,,4.6,5.3,2.9,4.8,3.3,,6.4,8.7,2.7,,3.2,5.6,3.0,,2.8,,4.3,10.8,5.0,5.5,,8.5,2.7,,3.5,4.4,,4.1,,4.2,3.8,4.7
09.08.2018,,,4.5,5.0,3.1,4.9,3.9,,6.5,8.5,2.6,,3.9,5.9,2.8,,2.8,,3.0,10.3,3.7,5.6,4.5,5.0,3.1,,3.3,4.4,,4.5,3.1,4.3,3.0,4.6
12.08.2018,,,4.5,5.1,3.1,4.9,3.8,,6.5,8.8,2.6,,4.5,6.0,3.0,,2.8,,4.9,10.2,3.8,6.2,4.7,6.3,3.3,,3.3,4.0,,4.5,,4.2,2.7,4.3
13.08.2018,,,4.5,5.1,3.3,4.9,4.5,,6.5,8.3,2.6,,3.5,5.1,3.0,,2.8,,5.6,10.2,4.0,5.7,4.5,6.4,3.3,,3.2,4.4,,4.6,,5.0,3.5,4.7
14.08.2018,,,4.5,5.0,4.0,4.6,4.0,,6.5,8.5,2.6,,2.7,5.4,3.0,,2.8,,6.0,10.5,4.0,6.0,,7.5,3.1,,3.0,4.6,,4.6,,4.6,3.0,4.9
15.08.2018,,,4.2,5.2,4.0,4.9,3.9,,6.5,8.6,2.6,,3.6,5.8,3.0,,2.8,,7.0,10.1,3.9,6.8,4.5,5.9,3.4,,3.0,4.3,,4.7,,4.8,3.4,4.5
16.08.2018,,,4.5,5.1,3.6,4.9,4.2,,6.5,8.5,2.6,,3.6,5.1,3.0,,2.7,,9.0,9.9,3.8,5.8,4.5,6.3,3.2,,3.0,4.4,,4.7,,4.9,3.0,4.6
19.08.2018,,,4.5,5.2,3.6,4.9,4.1,,6.5,8.5,2.7,,3.7,5.4,3.0,,2.7,,,10.1,3.7,6.0,4.5,7.5,3.3,,3.0,4.4,,4.8,,4.9,3.0,4.5
20.08.2018,,,4.7,5.0,3.8,4.5,3.9,,6.5,8.6,2.5,,3.6,5.2,3.0,,2.7,,,10.0,3.8,5.9,4.5,8.1,3.1,,3.0,4.6,,4.8,,4.9,3.5,4.5
21.08.2018,,,,5.0,3.8,5.0,4.5,,6.5,8.6,2.5,,3.5,5.6,3.0,,2.8,,6.0,10.1,3.4,5.8,4.0,6.5,2.9,,3.0,4.3,,4.9,,4.7,,4.7
22.08.2018,,,4.8,5.3,3.4,4.7,4.7,,6.6,8.7,2.7,,3.6,5.1,3.0,,2.8,,,10.3,3.4,5.8,4.5,6.2,3.2,,3.0,4.5,,4.9,,4.9,3.0,5.0
23.08.2018,,,5.0,5.6,3.6,4.4,4.9,,6.5,8.5,2.6,,3.5,5.5,2.9,,2.7,,6.0,11.0,3.6,5.5,,6.0,3.0,,2.8,4.4,,4.0,,4.7,3.0,4.8
26.08.2018,,,,5.5,4.0,4.7,4.0,,6.7,8.5,2.9,,3.5,5.5,3.0,,2.9,,,10.0,4.0,6.0,4.5,7.5,3.0,,,4.5,,4.7,,4.8,,5.0
02.09.2018,,,4.9,5.5,4.0,4.6,4.4,,6.8,8.5,2.8,,3.5,5.4,3.0,,3.2,,,10.5,3.7,5.6,4.7,7.5,3.0,,3.5,5.5,,4.7,,4.8,,6.0
03.09.2018,,,5.0,5.3,3.7,4.7,5.8,,6.5,8.5,2.6,,3.3,5.5,2.8,,3.1,,6.0,10.6,3.7,5.6,,4.7,3.2,,4.7,5.5,,4.8,,4.5,,5.7
04.09.2018,,,4.7,5.3,4.0,4.6,5.6,,7.3,8.5,2.6,,3.6,5.6,2.5,,3.2,,,10.3,3.8,6.0,4.5,7.5,3.7,,5.0,6.2,,4.8,,4.8,3.0,5.9
05.09.2018,,,4.5,5.3,4.0,4.5,5.7,,6.9,8.5,2.2,,3.3,5.4,3.0,,3.1,,6.4,10.8,3.7,5.8,5.0,5.3,3.3,,3.2,6.1,,4.9,,4.1,3.0,5.8
06.09.2018,,,4.7,5.3,4.0,4.6,6.1,,5.5,8.6,2.5,,3.4,5.4,2.7,,3.3,,,10.6,3.7,6.0,4.5,7.3,3.6,,3.3,5.9,,4.9,,4.3,4.0,6.0
09.09.2018,,,5.0,5.0,3.8,4.7,2.3,,7.4,8.3,2.6,,2.6,5.4,3.1,,3.1,,6.0,11.0,3.9,5.8,4.5,5.3,3.0,,4.0,6.0,,4.9,,3.9,,6.0
12.09.2018,,,4.9,5.1,4.0,5.0,3.8,,6.0,7.5,2.8,,3.1,5.2,2.7,,3.2,,6.0,10.6,4.0,5.9,4.5,6.6,3.6,,4.0,7.2,,5.0,,5.1,4.0,7.1
13.09.2018,10.0,,5.1,5.3,4.0,4.9,3.8,,5.5,8.7,2.9,,3.5,5.5,2.7,,3.2,,,10.5,4.0,5.7,4.5,7.5,4.5,,4.4,7.5,,5.0,,4.9,,7.7
16.09.2018,,10.0,5.0,5.2,4.0,5.0,3.7,,5.5,7.8,2.8,,3.4,5.4,2.7,,3.3,,,10.3,4.0,6.0,4.3,7.5,4.6,,4.0,7.8,,5.0,,4.8,,7.8
17.09.2018,,,4.7,5.3,4.0,5.0,4.0,,5.5,7.2,2.8,,3.4,5.3,2.5,,3.4,,,10.3,4.0,6.0,4.5,7.5,4.2,,4.7,7.4,,5.0,,5.2,4.5,7.7
20.09.2018,7.5,10.1,5.0,5.3,4.0,5.0,4.1,,5.5,8.7,2.7,,3.5,5.4,2.5,,3.3,,,10.0,3.9,6.0,4.3,7.5,4.5,,,7.3,,5.0,,5.1,,7.7
25.09.2018,8.5,10.4,4.6,5.2,4.0,4.6,3.7,,5.7,8.6,3.0,,3.7,5.4,3.0,,4.0,,,10.5,4.1,6.4,4.3,6.4,4.2,,5.0,7.5,,5.0,,4.9,,7.5
26.09.2018,7.8,10.1,4.1,5.3,3.8,4.8,3.7,,5.5,8.9,2.5,,3.4,5.4,2.4,,4.1,,,10.3,3.8,6.3,4.1,7.3,4.3,,3.9,7.0,,5.0,,4.6,4.0,7.7
02.10.2018,8.0,10.0,,5.0,4.1,4.9,3.5,,5.3,8.9,2.7,,3.5,5.8,3.0,,4.1,,6.0,10.6,4.1,6.2,3.5,7.3,3.9,,,7.1,,5.0,,4.8,4.2,7.3
03.10.2018,7.3,9.5,,5.0,3.7,4.9,3.7,,5.7,8.9,2.5,,3.4,5.5,2.7,,4.1,,7.7,10.0,4.2,5.6,4.3,7.3,3.6,,4.4,6.8,,5.0,,4.7,5.0,7.2
04.10.2018,6.0,10.0,,5.0,3.5,4.9,3.8,,5.5,8.8,2.4,,,5.8,3.0,,4.2,,5.4,11.0,5.0,7.1,4.5,7.5,3.9,,5.0,7.0,,5.0,,4.9,5.0,7.3
07.10.2018,6.2,10.5,4.2,4.8,4.0,5.0,4.1,,5.5,8.8,2.4,,3.6,5.3,2.6,,4.6,,8.7,10.3,4.0,6.3,4.5,7.5,3.9,,5.3,8.0,,5.0,,5.3,,7.5
08.10.2018,6.9,9.4,,4.8,3.4,5.0,4.7,,5.5,9.0,2.1,,3.2,5.4,2.8,,4.5,,6.0,10.8,4.4,5.8,4.1,6.9,3.5,,4.0,7.2,,5.0,,4.9,,7.6
09.10.2018,,9.1,,4.8,4.0,5.0,7.2,,5.5,8.5,2.5,,3.5,5.2,2.0,,4.7,,8.5,9.7,4.0,6.0,4.5,7.5,3.9,,5.3,8.1,,5.0,,5.0,,8.0
10.10.2018,5.6,9.0,4.0,4.9,3.7,4.8,8.1,,5.7,7.9,2.1,,2.9,5.3,2.4,,4.7,,7.8,9.9,3.9,5.8,4.3,7.5,3.7,,4.0,7.3,,5.0,,4.8,3.5,7.5
11.10.2018,5.4,8.3,3.8,4.6,4.2,4.9,7.4,,5.3,8.7,2.1,,3.6,5.1,2.0,,4.7,,9.0,10.2,3.6,5.8,4.5,7.5,3.8,,4.7,7.9,,5.0,,5.0,,7.7
14.10.2018,4.8,6.8,3.7,4.4,4.0,4.9,5.1,,5.5,8.4,2.0,,3.5,5.0,2.4,,4.7,,,10.4,3.8,5.7,4.5,7.5,3.9,,6.0,7.7,,5.0,,5.7,5.0,7.6
15.10.2018,5.3,7.0,3.6,4.5,4.0,4.9,5.2,,5.5,8.8,1.8,,3.5,4.7,2.4,,4.6,,6.0,10.8,3.7,5.0,,7.0,3.4,,4.3,7.5,,5.0,,5.4,4.9,7.6
16.10.2018,,7.1,3.0,4.0,4.0,4.9,5.5,,5.5,7.8,1.4,,3.4,5.6,2.4,,4.7,,,10.2,3.5,5.7,4.3,7.5,3.8,,6.0,8.4,,5.0,,5.5,,8.2
17.10.2018,5.3,6.8,3.5,4.3,3.8,4.9,5.1,,5.4,8.5,1.5,,3.6,4.9,3.5,,4.6,,6.0,10.0,3.6,5.1,4.5,7.3,3.3,,4.0,7.5,,5.0,,5.5,,7.8
18.10.2018,4.5,6.7,3.1,4.5,4.2,5.0,4.4,,5.3,8.4,1.4,,3.5,4.7,3.5,,4.6,,8.0,10.4,3.6,5.3,4.3,7.5,3.6,,6.0,7.5,,5.0,,5.1,,8.0
21.10.2018,5.4,7.0,3.2,3.6,3.5,4.8,3.7,,5.5,7.8,1.6,,3.2,4.8,2.4,,4.5,,6.8,10.3,3.8,5.3,4.0,6.8,3.1,,5.6,7.5,,5.0,,5.6,6.0,7.9
22.10.2018,5.9,7.2,3.3,3.9,3.4,4.9,3.6,,5.5,8.5,1.7,,3.2,4.9,,,4.5,,9.0,10.1,3.8,5.3,4.0,5.5,3.5,,4.0,7.3,,5.0,,5.4,7.0,8.3
23.10.2018,,7.1,,3.3,4.0,4.8,3.7,,5.3,8.5,1.8,,3.4,5.2,2.5,,4.4,,8.5,10.1,3.9,5.4,4.0,5.5,3.7,,4.0,7.3,,5.0,,5.5,5.7,7.7
24.10.2018,5.5,7.0,3.3,3.5,3.7,4.9,3.9,,5.5,8.5,1.7,,3.5,4.9,3.5,,4.4,,9.0,10.8,3.8,5.3,4.0,5.5,3.7,,4.2,7.1,,5.0,,5.6,4.0,8.1
25.10.2018,4.6,6.4,2.9,3.0,3.4,4.9,4.2,,5.5,8.5,2.1,,3.4,4.6,3.5,,4.5,,5.5,10.2,2.8,5.3,4.0,5.5,4.3,,3.8,7.0,,5.0,,5.9,5.3,8.0
01.11.2018,3.4,5.8,2.8,2.8,3.5,4.8,7.4,,5.7,8.0,2.7,,3.1,4.2,2.6,,4.6,,9.0,11.2,3.7,5.3,4.0,5.5,5.6,,3.1,6.1,,5.0,,5.1,4.5,7.9
04.11.2018,3.5,5.9,2.6,2.8,3.7,4.8,6.3,,5.5,8.5,3.1,,3.5,4.6,2.6,,4.7,,6.0,9.8,3.8,5.5,4.0,6.1,6.2,,4.0,6.7,,5.0,,5.7,,7.5
05.11.2018,3.0,7.0,,2.5,,4.9,6.5,,5.7,8.0,3.0,,3.3,5.0,2.7,,4.7,,,10.3,3.3,5.0,4.0,5.5,6.0,,,6.7,,5.0,,5.1,,7.5
06.11.2018,3.6,5.7,2.5,2.6,3.8,4.4,5.8,,5.5,8.1,2.9,,4.0,4.4,2.7,,4.7,,6.0,10.0,3.8,5.3,4.0,5.8,5.7,,4.5,6.0,,4.4,,5.3,5.0,7.1
07.11.2018,4.0,6.2,2.5,2.7,3.4,4.8,5.6,,5.7,8.0,2.9,,3.2,4.5,3.5,,4.7,,,10.5,4.5,5.3,4.1,5.5,6.0,,4.0,5.9,,4.8,,5.5,,7.3
08.11.2018,3.9,5.9,2.5,2.6,3.7,4.7,3.0,,5.7,8.2,2.8,,3.3,4.5,3.0,,4.7,,9.0,11.2,3.2,5.5,4.0,5.5,6.0,,3.0,5.7,,4.7,,5.6,4.2,7.1
11.11.2018,3.8,6.0,2.5,2.7,3.5,4.6,3.2,,5.7,8.0,3.2,,3.0,4.2,2.5,,4.9,,6.0,9.3,3.8,5.3,4.0,5.6,5.8,,5.2,6.0,,4.8,,5.4,5.5,6.9
12.11.2018,4.3,5.7,2.3,2.8,3.8,4.7,3.0,,5.5,8.2,3.0,,3.2,4.4,2.5,,5.2,,,9.3,3.8,5.2,4.0,6.9,5.7,,3.9,5.9,,4.9,,5.2,3.3,7.4
13.11.2018,5.0,6.2,2.5,2.6,4.0,4.5,3.0,,5.5,8.2,3.0,,3.0,4.3,2.9,,5.4,,6.0,10.3,5.0,5.0,4.0,5.8,6.2,,5.0,5.7,,4.9,,5.2,,6.8
14.11.2018,4.5,5.9,2.5,2.7,4.0,4.7,3.2,,5.6,8.1,2.8,,3.2,4.5,3.0,,5.3,,8.0,10.2,3.8,5.6,4.1,5.8,6.3,,4.4,5.9,,4.9,,5.2,3.4,6.7
15.11.2018,3.9,6.2,2.5,2.6,3.8,4.8,3.3,,5.5,8.0,2.8,,3.3,4.4,3.0,,5.8,,9.0,11.2,4.0,5.6,4.0,5.8,6.2,,2.8,5.6,,4.9,,5.3,5.0,6.8
18.11.2018,4.6,6.2,2.5,2.7,3.4,4.8,3.3,,5.5,8.0,3.0,,3.5,4.1,3.3,,6.3,,5.9,10.6,4.3,5.5,4.0,5.8,6.6,,3.9,5.7,,5.0,,6.0,,6.2
19.11.2018,4.1,6.3,2.5,2.7,3.5,4.9,3.0,,5.5,8.4,2.8,,2.4,4.3,3.0,,6.5,,7.3,9.5,4.0,5.9,4.0,6.1,7.3,,3.5,5.5,,5.0,,5.6,5.0,6.2
20.11.2018,4.5,6.4,2.5,2.6,3.5,4.5,3.2,,5.5,8.4,3.1,,3.0,4.2,4.0,,7.0,,6.0,10.5,3.7,5.5,4.0,5.5,7.0,,4.0,5.3,,4.6,,5.7,5.3,6.6
21.11.2018,4.5,6.0,2.5,2.7,3.4,4.7,3.2,,,8.7,2.9,,3.0,4.2,3.5,,7.0,,9.0,10.0,5.0,5.7,,7.0,7.0,,,5.4,,4.8,,5.9,,6.8
22.11.2018,4.5,6.4,2.5,2.7,3.5,4.8,3.1,,5.5,8.2,2.4,,3.0,4.2,4.0,,6.9,,6.5,9.6,4.0,5.3,4.0,5.3,7.0,,4.0,5.3,,4.8,,5.7,5.0,6.6
25.11.2018,4.5,6.3,2.5,2.6,3.5,4.5,3.1,,5.5,8.1,2.5,,2.9,4.1,3.9,,7.0,,6.0,10.2,5.0,5.2,4.0,5.8,7.0,,3.3,5.0,,4.6,,5.7,4.5,5.7
26.11.2018,4.4,6.1,2.5,2.7,3.8,4.6,3.1,,5.5,8.0,2.4,,3.0,4.2,,,7.0,,9.0,10.6,5.0,5.6,4.0,5.8,7.0,,3.5,5.4,,4.8,,6.2,4.5,5.9
02.12.2018,4.5,6.6,2.5,2.6,3.2,4.7,3.3,,5.5,8.0,2.0,,3.5,4.1,3.0,,6.5,,6.4,10.0,4.5,5.1,4.0,5.6,4.8,,,5.0,,4.9,,6.0,5.0,5.6
03.12.2018,,6.5,,2.8,,4.8,3.7,,5.5,8.0,2.2,,,4.2,4.0,,6.4,,7.5,9.6,,5.5,4.0,5.8,6.3,,,5.0,,5.0,,5.8,,5.0
04.12.2018,4.6,6.5,2.5,2.7,3.1,4.5,4.5,,5.5,8.2,1.9,,3.0,3.8,3.3,,6.5,,6.3,9.9,3.7,5.4,4.0,5.9,5.7,,4.0,4.9,,5.0,,6.0,4.0,5.6
05.12.2018,5.0,6.3,2.5,2.6,4.0,4.8,5.0,,,8.7,2.1,,3.3,3.7,4.0,,6.5,,,10.0,4.4,5.4,,,6.0,,,5.0,,5.0,,6.0,,5.7
06.12.2018,5.0,6.3,2.5,2.7,3.6,4.4,4.1,,5.5,8.1,1.9,,3.0,3.9,3.3,,6.5,,6.8,10.3,4.5,5.2,4.0,5.8,5.3,,4.0,4.9,,5.0,,5.6,4.5,5.6
09.12.2018,4.8,6.5,2.5,2.8,3.1,4.2,4.0,,5.5,8.2,2.3,,3.0,3.9,3.3,,6.6,,6.5,10.7,5.0,5.3,4.0,6.1,4.9,,3.4,5.0,,3.5,,5.6,3.0,5.6
10.12.2018,6.0,7.2,2.6,2.8,3.8,4.5,3.4,,5.5,8.4,2.2,,3.0,3.9,3.1,,6.4,,6.5,10.5,4.0,5.1,4.0,5.5,6.1,,3.0,5.1,,4.1,,5.3,,5.6
11.12.2018,6.0,7.4,2.5,2.8,3.9,4.3,3.5,,5.5,8.1,2.3,,3.1,4.1,,,6.2,,,10.7,4.5,4.9,4.0,5.8,4.6,,3.5,5.1,,3.6,,5.2,4.0,5.6
12.12.2018,6.0,7.5,2.8,2.8,3.9,4.4,4.0,,5.5,8.1,1.9,,3.0,4.3,,,6.2,,,12.0,3.7,5.5,4.0,5.8,5.2,,4.0,5.0,,3.8,,4.6,3.5,5.5
13.12.2018,6.1,7.8,2.5,2.8,3.6,3.7,4.5,,5.5,8.1,2.0,,3.3,3.9,4.0,,6.1,,6.3,11.0,3.7,5.4,4.0,5.6,4.6,,3.7,5.1,,4.1,,4.7,4.0,5.7
16.12.2018,6.0,7.9,2.9,3.2,3.5,4.1,4.5,,5.5,8.0,1.9,,3.0,3.9,2.5,,5.6,,,10.5,3.5,5.3,4.0,6.1,4.8,,3.0,5.1,,4.3,,4.6,4.3,5.5
17.12.2018,5.7,7.6,,3.3,3.6,4.2,4.6,,5.5,8.1,1.7,,3.2,4.2,,,6.2,,,10.0,4.1,5.4,4.0,5.8,4.0,,4.0,5.1,,4.1,,4.3,4.0,5.0
18.12.2018,5.5,7.6,,3.0,3.7,4.2,5.0,,5.4,8.0,1.8,,3.0,4.2,4.0,,5.8,,,11.3,5.0,5.0,4.0,6.4,4.6,,4.5,5.2,,4.1,,4.4,,5.3
19.12.2018,6.0,7.3,,3.2,3.4,4.3,5.1,,5.5,8.0,1.7,,3.2,4.2,,,5.1,,,10.0,3.5,5.2,4.0,5.8,4.3,,4.4,5.1,,3.9,,4.4,4.4,5.1
20.12.2018,6.0,7.6,2.7,3.3,3.5,4.3,4.8,,5.5,7.9,1.9,,3.0,4.2,,,5.9,,,10.9,4.0,5.0,4.0,6.7,4.3,,4.0,5.0,,4.3,,4.4,4.0,5.4
23.12.2018,5.7,7.4,2.5,3.7,3.4,4.3,4.7,,5.5,8.1,1.8,,3.0,4.1,2.6,,5.3,,6.3,10.6,4.0,5.2,4.0,5.6,3.9,,4.0,5.1,,4.4,,4.6,4.0,5.3
24.12.2018,5.7,7.4,2.5,3.7,3.4,4.4,3.9,,,8.5,1.5,,2.7,4.4,,,4.8,,,11.2,3.0,5.0,,5.5,3.7,,3.5,5.3,,4.2,,4.6,3.7,5.2
25.12.2018,6.0,7.2,,3.6,3.2,4.3,4.1,,5.5,8.2,1.4,,3.7,4.4,3.0,,4.3,,,10.7,3.8,5.2,4.0,5.9,3.6,,3.8,5.2,,2.9,,4.9,4.1,5.8
26.12.2018,6.0,7.4,,3.6,3.4,4.4,3.8,,5.5,8.0,1.6,,3.5,4.4,,,5.3,,,12.0,4.0,5.7,4.0,5.5,3.6,,3.4,5.3,,3.6,,5.2,4.3,5.2
01.01.2019,6.0,7.1,,3.4,3.3,4.2,3.0,,,7.9,1.6,,3.1,4.5,,,5.0,,,10.3,3.8,5.1,,5.9,3.3,,4.0,5.3,,4.5,,7.2,4.5,5.3
02.01.2019,5.8,7.0,,3.2,3.4,4.2,3.1,,,8.0,1.7,,3.5,4.5,3.0,,5.2,,,10.8,3.8,5.2,,5.5,3.4,,,5.4,,4.2,,7.0,,5.3
03.01.2019,6.0,7.4,,3.6,3.5,4.1,3.8,,,8.2,1.7,,3.0,4.7,3.0,,,,,10.7,,5.0,,5.5,3.4,,,5.5,,4.1,,7.0,,5.1
06.01.2019,6.0,7.9,2.5,3.5,3.3,4.3,3.7,,,8.0,1.7,,3.0,4.4,2.6,,5.2,,6.2,10.4,3.6,5.8,,5.3,3.5,,3.7,5.3,,4.4,,6.8,4.5,5.6
07.01.2019,6.5,8.4,2.8,3.4,3.2,3.7,3.9,,,8.0,2.0,,3.0,4.3,,,4.0,,,11.3,4.2,4.9,,5.4,3.4,,4.3,5.5,,3.9,,6.7,4.2,5.8
08.01.2019,6.5,7.9,2.5,3.3,3.0,3.9,4.0,,,8.0,1.8,,3.0,4.1,,,5.0,,,11.1,3.7,5.6,,6.5,3.2,,4.1,5.2,,4.4,,6.9,3.5,5.7
09.01.2019,6.8,8.0,,3.2,3.1,4.0,4.5,,,8.2,1.9,,3.0,4.3,3.0,,4.5,,,11.6,4.1,5.3,,6.1,3.7,,3.0,5.3,,4.0,,6.3,3.1,6.3
10.01.2019,6.5,8.8,2.8,3.5,3.2,4.0,4.2,,,8.3,1.6,,3.0,4.1,2.5,,4.4,,6.3,10.5,4.0,5.3,,5.4,3.1,,4.0,5.2,,4.5,,6.4,,6.6
13.01.2019,6.7,9.3,3.0,3.5,3.0,4.0,3.6,,,8.2,1.7,,3.0,4.0,2.6,,4.9,,6.3,10.1,4.0,5.5,,5.5,3.2,,3.6,5.2,,4.5,,6.3,4.2,6.2
14.01.2019,8.4,12.0,3.4,3.5,3.0,4.1,4.0,,,8.1,1.8,,3.0,4.0,,,4.3,,,10.8,3.4,5.0,,5.6,3.7,,3.0,5.1,,4.2,,6.1,,5.6
15.01.2019,7.0,11.6,,3.5,3.4,4.1,4.3,,,8.2,1.5,,3.3,4.3,2.6,,,,7.0,10.7,3.8,5.3,,6.3,3.0,,4.0,5.1,,4.1,,6.1,3.8,5.6
16.01.2019,7.1,11.5,,3.4,2.7,4.1,4.6,,,8.2,1.7,,3.0,4.1,2.5,,5.5,,8.0,10.0,3.8,5.3,,6.1,3.2,,3.8,5.4,,4.0,,6.3,4.5,5.7
17.01.2019,6.6,11.4,,3.6,2.6,4.0,4.4,,,8.0,1.6,,3.0,4.1,2.6,,4.9,,6.2,10.6,3.8,5.7,,5.5,3.3,,3.3,5.1,,3.6,,6.3,,5.7
20.01.2019,8.4,11.2,3.0,3.5,2.8,3.6,3.6,,,8.2,2.0,,3.0,4.1,3.0,,4.6,,6.3,10.3,4.0,5.6,,5.4,3.6,,3.4,5.1,,4.2,,6.5,4.5,6.0
21.01.2019,7.8,10.9,,3.9,2.7,3.9,3.8,,,8.2,2.0,,3.2,4.3,2.6,,,,,11.6,3.9,6.1,,7.3,3.6,,,5.3,,3.6,,6.5,,5.8
22.01.2019,7.7,11.5,,3.9,2.8,3.9,4.1,,,8.0,2.0,,3.2,4.3,2.5,,4.4,,,9.6,4.0,5.8,,5.4,3.7,,3.8,5.8,,4.3,,6.7,3.8,6.0
23.01.2019,7.4,11.3,3.2,3.9,2.7,4.0,3.8,,,8.2,1.9,,3.0,4.3,2.5,,,,,9.8,3.7,6.2,,6.2,3.5,,3.3,5.9,,3.8,,6.6,3.9,6.0
24.01.2019,7.2,11.8,3.0,3.9,2.5,4.0,3.7,,,8.0,2.0,,3.3,4.0,2.5,,5.0,,6.2,10.4,3.0,5.6,,5.6,3.0,,4.3,5.7,,4.8,,6.2,,6.2
03.02.2019,6.9,11.4,3.8,4.4,2.9,3.9,2.7,,,8.1,2.2,,3.0,4.2,2.6,,5.0,,6.2,11.2,3.3,5.7,,5.5,3.3,,3.8,5.8,,4.9,,5.3,,6.7
04.02.2019,7.1,11.1,4.0,4.3,2.9,4.0,3.1,,,8.3,2.1,,2.8,4.1,,,5.0,,,11.1,3.8,5.6,,6.1,3.5,,3.7,6.3,,4.8,,5.4,3.5,6.5
05.02.2019,7.1,10.9,3.3,4.3,2.9,3.9,4.0,,,8.2,2.4,,3.0,4.1,2.5,,,,6.8,10.8,3.5,5.6,,6.2,3.2,,4.4,6.0,,4.8,,5.3,4.0,6.2
